ID;Name;Year;Authors;Tittle;Abstract;Country of affiliation;Journal;Open Access
ID098;Tanti et al. 2021;2021;"Tanti, M; Berruyer, C; Tafforeau, P; Muscat, A; Farrugia, R; Scerri, K; Valentino, G; Sole, VA; Briffa, JA";Automated segmentation of microtomography imaging of Egyptian mummies;Propagation Phase Contrast Synchrotron Microtomography (PPC-SR mu CT) is the gold standard for non-invasive and non-destructive access to internal structures of archaeological remains. In this analysis, the virtual specimen needs to be segmented to separate different parts or materials, a process that normally requires considerable human effort. In the Automated SEgmentation of Microtomography Imaging (ASEMI) project, we developed a tool to automatically segment these volumetric images, using manually segmented samples to tune and train a machine learning model. For a set of four specimens of ancient Egyptian animal mummies we achieve an overall accuracy of 94-98% when compared with manually segmented slices, approaching the results of off-the-shelf commercial software using deep learning (97-99%) at much lower complexity. A qualitative analysis of the segmented output shows that our results are close in terms of usability to those from deep learning, justifying the use of these techniques.;MLT;PloS One;Yes
ID099;Vos et al. 2021;2021;"Vos, Daniella; Stafford, Richard; Jenkins, Emma L.; Garrard, Andrew";A model based on Bayesian confirmation and machine learning algorithms to aid archaeological interpretation by integrating incompatible data.;A model based on Bayesian confirmation and machine learning algorithms to aid archaeological interpretation by integrating incompatible data.;GBR;PloS One;Yes
ID100;Zhao 2021;2021;Zhao, Q;Research on the Identification and Application of Immovable Cultural Relics in the Historic City of Macau Based on Condition of Intelligent Remote Sensing Technology;The archeological sites are a heritage that we have gained from our ancestors. These sites are crucial for understanding the past and the way of life of people during those times. The monuments and the immovable relics of ancient times are a getaway to the past. The critical cultural relics however actually over the years have faced the brunt of nature. The environmental conditions have deteriorated the condition of many important immovable relics over the years since these could not be just shifted away. People also move around the ancient cultural relics that may also deform these relics. The machine learning algorithms were used to identify the location of the relics. The data from the satellite images were used and implemented machine learning algorithm to maintain and monitor the relics. This research study dwells into the importance of the area from a research point of view and utilizes machine learning techniques called CaffeNet and deep convolutional neural network The result showed that 96% accuracy of predicting the image, which can be used for tracking human activity, protects heritage sites in a unique way.;CHN;Wireless Communications & Mobile Computing;Yes
ID101;Zhong et al. 2021;2021;"Zhong, H; Wang, LL; Zhang, HQ";The Application of Virtual Reality Technology in the Digital Preservation of Cultural Heritage;"Virtual reality technology involves computer graphics, artificial intelligence, network, sensor technology and many other aspects. It can use the powerful computing and graphics processing capabilities of computers to provide alternatives to the original and express its visual, tactile, and auditory technical means. According to archaeological research data And documentary records, virtual reconstruction and simulated display of the cultural heritage that has been wiped out. Digital protection of cultural heritage is a new way of protection, relying on computer technology, and the use of digital equipment to collect, save, process, output and disseminate the required information, including databases established on computer systems, So as to achieve the purpose of information sharing and dissemination. This article mainly studies the application research of virtual reality technology in the digital preservation of cultural heritage. Create an immersive environment for users, display the objects realistically in the virtual reality system, thereby digitizing the technical protection of cultural heritage""";CHN;Computer Science and Information Systems;Yes
ID102;Abellan et al. 2022;2022;"Abellan, N; Baquedano, E;Domínguez-Rodrigo, M";High-accuracy in the classification of butchery cut marks and crocodile tooth marks using machine learning methods and computer vision algorithms;Some researchers using traditional taphonomic criteria (groove shape and presence/absence of microstri-ations) have cast some doubts about the potential equifinality presented by crocodile tooth marks and stone tool butchery cut marks. Other researchers have argued that multivariate methods can efficiently separate both types of marks. Differentiating both taphonomic agents is crucial for determining the ear-liest evidence of carcass processing by hominins. Here, we use an updated machine learning approach (discarding artificially bootstrapping the original imbalanced samples) to show that microscopic features shaped as categorical variables, corresponding to intrinsic properties of mark structure, can accurately discriminate both types of bone modifications. We also implement new deep-learning methods that objectively achieve the highest accuracy in differentiating cut marks from crocodile tooth scores (99% of testing sets). The present study shows that there are precise ways of differentiating both taphonomic agents, and this invites taphonomists to apply them to controversial paleontological and archaeological specimens.(c) 2022 Elsevier Masson SAS. All rights reserved.;ESP;Geobios;No
ID103;Altaweel et al. 2022;2022;"Altaweel, M; Khelifi, A; Li, ZH; Squitieri, A; Basmaji, T; Ghazal, M";Automated Archaeological Feature Detection Using Deep Learning on Optical UAV Imagery: Preliminary Results;"This communication article provides a call for unmanned aerial vehicle (UAV) users in archaeology to make imagery data more publicly available while developing a new application to facilitate the use of a common deep learning algorithm (mask region-based convolutional neural network; Mask R-CNN) for instance segmentation. The intent is to provide specialists with a GUI-based tool that can apply annotation used for training for neural network models, enable training and development of segmentation models, and allow classification of imagery data to facilitate auto-discovery of features. The tool is generic and can be used for a variety of settings, although the tool was tested using datasets from the United Arab Emirates (UAE), Oman, Iran, Iraq, and Jordan. Current outputs suggest that trained data are able to help identify ruined structures, that is, structures such as burials, exposed building ruins, and other surface features that are in some degraded state. Additionally, qanat(s), or ancient underground channels having surface access holes, and mounded sites, which have distinctive hill-shaped features, are also identified. Other classes are also possible, and the tool helps users make their own training-based approach and feature identification classes. To improve accuracy, we strongly urge greater publication of UAV imagery data by projects using open journal publications and public repositories. This is something done in other fields with UAV data and is now needed in heritage and archaeology. Our tool is provided as part of the outputs given.";GBR;Remote Sensing;Yes
ID104;Anglisano et al. 2022;2022;"Anglisano, Anna; Casas, Lluis; Queralt, Ignasi; Di Febo, Roberta";Supervised Machine Learning Algorithms to Predict Provenance of Archaeological Pottery Fragments;Code and data sharing are crucial practices to advance toward sustainable archaeology. This article explores the performance of supervised machine learning classification methods for provenancing archaeological pottery through the use of freeware R code in the form of R Markdown files. An illustrative example was used to show all the steps of the new methodology, starting from the requirements to its implementation, the verification of its classification capability and finally, the production of cluster predictions. The example confirms that supervised methods are able to distinguish classes with similar features, and provenancing is achievable. The provided code contains self-explanatory notes to guide the users through the classification algorithms. Archaeometrists without previous knowledge of R should be able to apply the novel methodology to similar well-constrained classification problems. Experienced users could fully exploit the code to set up different combinations of parameters, and they could further develop it by adding other classification algorithms to suit the requirements of diverse classification strategies.;ESP;Sustainability;Yes
ID105;Badawy 2022;2022;"Badawy, WM; Dmitriev, AY; Koval, VY; Smirnova, VS; Chepurchenko, OE; Lobachev, VV; Belova, MO; Galushko, AM";Formation of reference groups for archaeological pottery using neutron activation and multivariate statistical analyses;"For the first time in Russia, instrumental neutron activation analysis (INAA) and related analytical techniques were used to determine the distribution patterns of elemental composition in archeological pottery in terms of classification and provenance of medieval pottery. A total of 48 fragments have been discovered in three locations; Bolgar, the Moscow Kremlin (MosKremlin), and Selitrennoe settlement (Selitrennoe). The assemblages were subjected to INAA in order to determine the concentrations of 37 elements in mg/kg. The data were analyzed using geochemical, bivariate, and multivariate statistical techniques. To classify the fragments according to their origin hierarchical clustering (HCA), linear discriminant (LDA), and principal component analyses (PCA) were used. Based on the INAA results, the first attempt was made to apply machine learning methods to the study of artifacts in Russia. The results show that they are reliable and powerful in extracting information about critical elements for identifying ceramic fragments and using them as chemical fingerprints. Chromium was the most useful element and was used in conjunction with other elements as a fingerprint to distinguish sherds. Chemical and statistical analyses help to establish of reference groups for medieval archeological pottery, which will be used in the future to classify and identify various unknown sherds. These reference groups serve as baseline data for determining the fragment's place of manufacture and are considered a reasonable judgment based on experimental data.";RUS;Archaeometry;Yes
ID106;Banasiak et al. 2022;2022;"Banasiak, PZ; Berezowski, PL; Zaplata, R; Mielcarek, M; Duraj, K; Sterenczak, K";Semantic Segmentation (U-Net) of Archaeological Features in Airborne Laser Scanning-Example of the Bialowieza Forest;Airborne Laser Scanning (ALS) technology can be used to identify features of terrain relief in forested areas, possibly leading to the discovery of previously unknown archaeological monuments. Spatial interpretation of numerous objects with various shapes and sizes is a difficult challenge for archaeologists. Mapping structures with multiple elements whose area can exceed dozens of hectares, such as ancient agricultural field systems, is very time-consuming. These archaeological sites are composed of a large number of embanked fields, which together form a recognizable spatial pattern. Image classification and segmentation, as well as object recognition, are the most important tasks for deep learning neural networks (DLNN) and therefore they can be used for automatic recognition of archaeological monuments. In this study, a U-Net neural network was implemented to perform semantic segmentation of the ALS-derived data including (1) archaeological, (2) natural and (3) modern features in the Polish part of the Bialowieza Forest. The performance of the U-Net segmentation model was evaluated by measuring the pixel-wise similarity between ground truth and predicted segmentation masks. After 83 epochs, The Dice-Sorensen coefficient (F1 score) and the Intersect Over Union (IoU) metrics were 0.58 and 0.5, respectively. The IoU metric reached a value of 0.41, 0.62 and 0.62 for the ancient field system banks, ancient field system plots and burial mounds, respectively. The results of the U-Net deep learning model proved very useful in semantic segmentation of images derived from ALS data.;POL;Remote Sensing;Yes
ID107;Barron and Denham 2022;2022;"Barron, A; Denham, T";A protocol for identifying archaeological parenchyma using microCT: Steps towards a virtual reference collection;The investigation of archaeological parenchyma derived from underground storage organs (USOs) is under-represented in archaeobotany globally. Although some regional reference collections have been assembled and applied to archaeobotanical materials, these are not generally accessible to researchers. Here, the initial steps in the development of a virtual database for archaeological parenchyma are detailed. Foremost, a protocol for the microCT scanning and virtual reconstruction of modern reference material and also of archaeological parenchyma is detailed. The protocol enables a 3D virtual representation of scanned materials to be recon-structed at high resolution (the highest resolution typically being between 2 and 3 mu m), which can be interro-gated qualitatively (user-defined) and quantitatively (using automated segmentation, algorithms and eventually deep learning neural networks) to enable taxonomic differentiation and comparability. The protocol is presented to enable replicability of analysis and also to ensure standardization in the future development of an online, open access and editable, 3D virtual database of modern reference samples and archaeological parenchyma.;AUS;Journal of Archaeological Science-Reports;No
ID108;Bouzid and Barge 2022;2022;"Bouzid, S; Barge, O";Towards a typology of desert kites combining quantitative and spatial approaches;Desert kites are very large archaeological constructions discovered in large numbers during the last decade thanks to their identification on satellite images. The geographical area where they are present is considerable, from the Aralo-Caspian zone to central-western Arabia. Always present, several elements make up the layout of the kites, which makes them singular constructions and identifies them. However, variations in shape or size are observed throughout their extension area. Using qualitative and quantitative variables obtained by observing a sample of kites (10% of the total identified) on high-resolution satellite images, we propose a combination of exploratory statistical analysis, unsupervised machine learning approaches (PCA, clustering and association rules) and spatial analysis (neighbourhood) to establish a clustering of kites based on their morphological descriptions. This work allows to identify groups of kites sharing similar features, each of which is relatively circumscribed in geographic space. This regionalisation of morphologically homogeneous groups of kites could explain the temporality of the constructions while, despite recent fieldwork, dating is still rare.;FRA;Archaeological and Anthropological Sciences;No
ID109;Demjan et al. 2022;2022;"Demjan, Peter; Pavuk, Peter; Roosevelt, Christopher H.";Laser-Aided Profile Measurement and Cluster Analysis of Ceramic Shapes;Ceramics are one of the commonest sources of archaeological information, yet their abundance often confounds documentation and analysis. This article presents a new method of documenting and analyzing ceramics that includes laser-aided profile measurement to capture ceramic shape and other information quickly and accurately, resulting in digital outputs suitable for both publication and morphometric analysis. Linked software and database solutions enable unsupervised machine learning to cluster shapes based on similarity, eventually assisting typological analysis. Following an overview of current practices in ceramic recording and both standard and computational shape classification analyses, the new approach is discussed in full as a documentary and analytical tool. A case study from the Middle and Late Bronze Age site of Kaymakci in western Anatolia demonstrates the benefits of the recording method and helps show that a combination of automated and manual shape clustering techniques currently remains the best practice in ceramic shape classification.;CZE;Journal of Field Archaeology;Yes
ID110;Doyle et al. 2022;2022;"Doyle, Colin; Luzzadder-Beach, Sheryl; Beach, Timothy";Advances in remote sensing of the early Anthropocene in tropical wetlands: From biplanes to lidar and machine learning;This paper reviews the history of remote sensing for mapping ancient Maya wetland fields in Central America and provides a new assessment using machine learning with LiDAR data. We evaluate past uses of radar, multispectral, and LiDAR datasets in Northwest Belize across well-studied wetland field complexes that occur under different vegetation conditions. Next, we compare topographic products derived from LiDAR data commonly used for archaeology and geomorphology. Lastly, we train a machine learning algorithm to detect ancient canals with LiDAR data and test the algorithm on a newly rediscovered field system. The spatial resolution of any dataset must be sufficiently high (2-m or finer resolution) to detect most of these canals reliably. High resolution multispectral sensors can detect canals in open areas, but most wetland complexes are under dense tropical forest impenetrable to multispectral instruments. LiDAR data were the most useful due to the high spatial resolution (0.5-m) and the ability to penetrate canopy, but still have limitations under certain conditions. The intensity of the LiDAR returns with multispectral LiDAR systems can reveal differences in soil and vegetation between ancient canals and fields in places leveled by modern farmers. The algorithm successfully maps ancient canals but has many false positives in natural depressions and drainages. Although the machine learning approach tested here cannot be used on its own, we used it with the LiDAR visualizations to refine the canal estimates from previous studies, mapping nearly 50% more canals in the Central Rio Bravo floodplain than originally published.;USA;Progress in Physical Geography-Earth and Environment;No
ID111;Emmit et al. 2022;2022;"Emmitt, Joshua; Masoud-Ansari, Sina; Phillipps, Rebecca; Middleton, Stacey; Graydon, Jennifer; Holdaway, Simon";Machine learning for stone artifact identification: Distinguishing worked stone artifacts from natural clasts using deep neural networks.;Stone artifacts are often the most abundant class of objects found in archaeological sites but their consistent identification is limited by the number of experienced analysts available. We report a machine learning based technology for stone artifact identification as part of a solution to the lack of such experts directed at distinguishing worked stone objects from naturally occurring lithic clasts. Three case study locations from Egypt, Australia, and New Zealand provide a data set of 6769 2D images, 3868 flaked artifact and 2901 rock images used to train and test a machine learning model based on an openly available PyTorch implementation of Faster R-CNN ResNet 50. Results indicate 100% agreement between the model and original human derived classifications, a better performance than the results achieved independently by two human analysts who reassessed the 2D images available to the machine learning model. Machine learning neural networks provide the potential to consistently assess the composition of large archaeological assemblages composed of objects modified in a variety of ways.;NZL;PloS One;Yes
ID112;Fiorucci et al. 2022;2022;"Fiorucci, Marco; Verschoof-van der Vaart, Wouter B.; Soleni, Paolo; Le Saux, Bertrand; Traviglia, Arianna";Deep Learning for Archaeological Object Detection on LiDAR: New Evaluation Measures and Insights;Machine Learning-based workflows are being progressively used for the automatic detection of archaeological objects (intended as below-surface sites) in remote sensing data. Despite promising results in the detection phase, there is still a lack of a standard set of measures to evaluate the performance of object detection methods, since buried archaeological sites often have distinctive shapes that set them aside from other types of objects included in mainstream remote sensing datasets (e.g., Dataset of Object deTection in Aerial images, DOTA). Additionally, archaeological research relies heavily on geospatial information when validating the output of an object detection procedure, a type of information that is not normally considered in regular machine learning validation pipelines. This paper tackles these shortcomings by introducing two novel automatic evaluation measures, namely 'centroid-based' and 'pixel-based', designed to encode the salient aspects of the archaeologists' thinking process. To test their usability, an experiment with different object detection deep neural networks was conducted on a LiDAR dataset. The experimental results show that these two automatic measures closely resemble the semi-automatic one currently used by archaeologists and therefore can be adopted as fully automatic evaluation measures in archaeological remote sensing detection. Adoption will facilitate cross-study comparisons and close collaboration between machine learning and archaeological researchers, which in turn will encourage the development of novel human-centred archaeological object detection tools.;ITA;Remote Sensing;Yes
ID113;Horn et al. 2022;2022;"Horn, Christian; Ivarsson, Oscar; Lindhe, Cecilia; Potter, Rich; Green, Ashely; Ling, Johan";Artificial Intelligence, 3D Documentation, and Rock Art-Approaching and Reflecting on the Automation of Identification and Classification of Rock Art Images;Rock art carvings, which are best described as petroglyphs, were produced by removing parts of the rock surface to create a negative relief. This tradition was particularly strong during the Nordic Bronze Age (1700-550 BC) in southern Scandinavia with over 20,000 boats and thousands of humans, animals, wagons, etc. This vivid and highly engaging material provides quantitative data of high potential to understand Bronze Age social structures and ideologies. The ability to provide the technically best possible documentation and to automate identification and classification of images would help to take full advantage of the research potential of petroglyphs in southern Scandinavia and elsewhere. We, therefore, attempted to train a model that locates and classifies image objects using faster region-based convolutional neural network (Faster-RCNN) based on data produced by a novel method to improve visualizing the content of 3D documentations. A newly created layer of 3D rock art documentation provides the best data currently available and has reduced inscribed bias compared to older methods. Several models were trained based on input images annotated with bounding boxes produced with different parameters to find the best solution. The data included 4305 individual images in 408 scans of rock art sites. To enhance the models and enrich the training data, we used data augmentation and transfer learning. The successful models perform exceptionally well on boats and circles, as well as with human figures and wheels. This work was an interdisciplinary undertaking which led to important reflections about archaeology, digital humanities, and artificial intelligence. The reflections and the success represented by the trained models open novel avenues for future research on rock art.;SWE;Journal of Archaeological Method and Theory;Yes
ID114;Johnson et al. 2022;2022;"Johnson, PS; Eberl, M; Aguila, RE; Bell, C; Spencer-Smith, J";Using tiny artifacts to answer big questions: Machine learning, microdebitage, and household spaces at Tamarindito;The spatial analysis of microdebitage (measuring less than 6.3 mm) can identify areas where stone tools were knapped at archaeological sites. These tiny artifacts tend to become embedded in the locations where they were first deposited and are less vulnerable to post-depositional movement, making microdebitage an important artifact class for identifying primary areas of stone tool production. Traditional microdebitage analysis, however, can take multiple hours spread over several days to complete. Because of this, microdebitage analysis is typically completed in very small areas of sites due to the intensive time and labor commitment required. Recently, however, my colleagues and I have developed a novel, interdisciplinary method that combines dynamic image analysis and machine learning to analyze microdebitage taken from soil samples at archaeological sites. Analyses of experimental microdebitage demonstrated that microdebitage could be accurately and efficiently identified within archaeological soil samples using this method. In the present study, we apply these methods to soil samples taken from the Maya Capital of Tamarindito in Guatemala to verify whether these methods remain accurate when applied to archaeological contexts.;USA;North American Archaeologist;No
ID115;Karamitrou et al. 2022;2022;"Karamitrou, Alexandra; Sturt, Fraser; Bogiatzis, Petros; Beresford-Jones, David";Towards the use of artificial intelligence deep learning networks for detection of archaeological sites;Towards the use of artificial intelligence deep learning networks for detection of archaeological sites;GBR;Surface Topography-Metrology and Properties;Yes
ID116;Küçükdemirci and Sarris 2022;2022;"Küçükdemirci, M; Sarris, A";GPR Data Processing and Interpretation Based on Artificial Intelligence Approaches: Future Perspectives for Archaeological Prospection;Ground penetrating radar (GPR) is a well-established technique used in archaeological prospection and it requires a number of specialized routines for signal and image processing to enhance the data acquired and lead towards a better interpretation of them. Computer-aided techniques have advanced the interpretation of GPR data, dealing with a wide range of operations aiming towards locating, imaging, and diagnosis/interpretation. This article will discuss the novel and recent applications of machine learning (ML) and deep learning (DL) techniques, under the artificial intelligence umbrella, for processing GPR measurements within archaeological contexts, and their potential, limitations, and possible future prospects.;SWE;Remote Sensing;Yes
ID117;Lerner and Shimshoni 2022;2022;"Lerner, Jenny; Shimshoni, Ilan";Thin section analysis for ceramic petrography using motion analysis and segmentation techniques;Mineral segmentation in ceramic thin sections containing different minerals, in which there are no evident and close boundaries, is a rather complex process. The results of such a process are used in archaeology for analyzing the origin and manufacturing techniques of ancient ceramics. In this paper we present a methodology for the segmentation and analysis of thin sections of material segments and reaching some conclusions in a fully automatic way. We employ machine learning and computer vision techniques to analyze a video of the thin section sample, acquired under an optical microscope. When examined under polarized light, the color of segments may vary during sample rotation. This variation is due to the optical properties of the materials and it provides valuable information about the material inclusions in the sample. Using the video as our input, we perform an entire-video segmentation. To accomplish this task, we developed a hierarchical categorical mean-shift-based algorithm. Using the entire-video segmentation we examine the detected segments and gather statistical information about their sizes, shapes and colors and present an overall report about the sample. We tested the algorithm on nine specimens of ancient ceramics, taken from three different Mediterranean sites. The results show clear differences between the sites in the amounts, sizes and shapes of the segments present in the specimens.;ISR;Machine Vision and Applications;No
ID118;Liggins et al. 2022;2022;"Liggins, F; Vichi, A; Liu, W; Hogg, A; Kogou, S; Chen, JL; Liang, HD";Hyperspectral imaging solutions for the non-invasive detection and automated mapping of copper trihydroxychlorides in ancient bronze;"Ancient bronze is subject to complex degradation which can lead, in cases where copper chlorides are present, to a cyclic and self-sustaining degradation process commonly referred to as \bronze disease\\. If left untreated, bronze disease can eat away at a bronze object until it is entirely deteriorated. The presence of copper trihydroxychlorides is indicative that this process is underway and therefore the detection of these corrosion products is necessary in guiding conservation of ancient bronze artefacts. In this paper we present a high spatial/spectral resolution short wave infrared (SWIR) imaging solution for mapping copper trihydroxychlorides in ancient bronze, combining hyperspectral imaging with an in-house developed unsupervised machine learning algorithm for automated spectral clustering. For this work, verification was obtained through use of an in-house developed reference database of typical ancient bronze corrosion products from several archaeological sites, and from collections of the National Museum of China. This paper also explores the suitability, and limitations, of a visible to near-infrared (VNIR) hyperspectral imaging system as a more accessible solution for mapping copper trihydroxychlorides associated with bronze disease. We suggest that our hyperspectral imaging solution can provide a non-invasive, rapid, and high resolution material mapping within and across bronze objects, particularly beneficial for analysing large collections in a museum setting.\""""";GBR;Heritage Science;Yes
ID119;Lyons et al. 2022;2022;"Lyons, M; Fecher, F; Reindel, M";From LiDAR to deep learning: A case study of computer-assisted approaches to the archaeology of Guadalupe and northeast Honduras;From LiDAR to deep learning: A case study of computer-assisted approaches to the archaeology of Guadalupe and northeast Honduras;DEU;IT-Information Technology;No
ID120;Miera et al. 2022;2022;"Miera, Jan Johannes; Schmidt, Karsten; von Suchodoletz, Hans; Ulrich, Mathias; Werther, Lukas; Zielhofer, Christoph; Ettel, Peter; Veit, Ulrich";Large-scale investigations of Neolithic settlement dynamics in Central Germany based on machine learning analysis: A case study from the WeiÃŸe Elster river catchment.;The paper investigates potentials and challenges during the interpretation of prehistoric settlement dynamics based on large archaeological datasets. Exemplarily, this is carried out using a database of 1365 Neolithic sites in the WeiÃŸe Elster river catchment in Central Germany located between the southernmost part of the Northern German Plain and the Central Uplands. The recorded sites are systematically pre-processed with regard to their chronology, functional interpretation and spatial delineation. The quality of the dataset is reviewed by analyzing site distributions with respect to field surveys and modern land use. The Random Forests machine learning algorithm is used to examine the impact of terrain covariates on the depth of sites and pottery preservation. Neolithic settlement dynamics are studied using Site Exploitation Territories, and site frequencies per century are used to compare the intensity of land use with adjacent landscapes. The results show that the main trends of the Neolithic settlement dynamics can be derived from the dataset. However, Random Forests analyses indicate poor pottery preservation in the Central Uplands and a superimposition of Neolithic sites in the southernmost part of the Northern German Plain. Throughout the Neolithic the margins between soils on loess and the WeiÃŸe Elster floodplain were continuously settled, whereas only Early and Late Neolithic land use also extended into the Central Uplands. These settlement patterns are reflected in the results of the Site Exploitation Territories analyses and explained with environmental economic factors. Similar with adjacent landscapes the Middle Neolithic site frequency is lower compared to earlier and later periods.;DEU;PloS One;Yes
ID121;Mohsan et al. 2022;2022;"Mohsan, SAH; Mazinani, A; Othman, NQH; Amjad, H";Towards the internet of underwater things: a comprehensive survey;The innovative concept of Internet of Underwater Things (IoUT) has a huge impact in different sectors including a small scientific laboratory, to a medium sized harbor, and to monitor vast undiscovered oceans. Internet of Underwater Things (IoUT) has become a powerful technology to support various applications such as collecting real-time aquatic information, naval military applications, maritime security, natural disaster prediction and control, archaeological expeditions, oil and gas exploration, shipwrecks discovery, water contamination, marine life observation and smart Ocean. IoUT is referred as smart intricately linked underwater objects to monitor these underwater operations. The IoUT framework incorporates several underwater communication technologies based on magnetic induction, optical signals, radio signals and acoustic waves. It is an emerging communication ecosystem which can reveal a new era of research, business and naval applications. It is a novel and vibrant paradigm for the Blue Economy sector bringing the ability to communicate autonomous underwater vehicles (AUVs), sensing, actuating and transferring this data to control centers using regular internet speeds through low cost technologies. It is anticipated to support future networking systems which can bring tremendous improvement in previous generations in terms of stable networking, high coverage, massive connectivity, low latency, high data rate and low power consumption. This study introduces the possible network framework of IoUT which is naturally heterogeneous and must be flexible enough to work under unpredicted ocean conditions. In this study, we examine channel models, routing protocols, networking topologies and simulation tools. Furthermore, we discussed recent advancements in IoUT in terms of smart devices, consumer electronics, communication and role of AUVs. In addition, edge computing, optical wireless communication (OWC), data analytics, blockchain, intelligent reflecting surfaces (IRS) and machine learning were viewed as promising techniques to support IoUT. We have dedicated a complete section to applications of IoUT. Finally, numerous open research challenges and future directions were presented. We believe this survey will be helpful to aggregate the research efforts and eliminate the technical uncertainties towards breakthrough novelties of IoUT.;CHN;Earth Science Informatics;No
ID122;Prasomphan 2022;2022;Prasomphan, S;Toward Fine-grained Image Retrieval with Adaptive Deep Learning for Cultural Heritage Image;Fine-grained image classification is a challenging research topic because of the high degree of similarity among categories and the high degree of dissimilarity for a specific category caused by different poses and scales. A cultural heritage image is one of the fine-grained images because each image has the same similarity in most cases. Using the classification technique, distinguishing cultural heritage architecture may be difficult. This study proposes a cultural heritage content retrieval method using adaptive deep learning for fine-grained image retrieval. The key contribution of this research was the creation of a retrieval model that could handle incremental streams of new categories while maintaining its past performance in old categories and not losing the old categorization of a cultural heritage image. The goal of the proposed method is to perform a retrieval task for classes. Incremental learning for new classes was conducted to reduce the re-training process. In this step, the original class is not necessary for re-training which we call an adaptive deep learning technique. Cultural heritage in the case of Thai archaeological site architecture was retrieved through machine learning and image processing. We analyze the experimental results of incremental learning for fine-grained images with images of Thai archaeological site architecture from world heritage provinces in Thailand, which have a similar architecture. Using a fine-grained image retrieval technique for this group of cultural heritage images in a database can solve the problem of a high degree of similarity among categories and a high degree of dissimilarity for a specific category. The proposed method for retrieving the correct image from a database can deliver an average accuracy of 85 percent. Adaptive deep learning for fine-grained image retrieval was used to retrieve cultural heritage content, and it outperformed state-of-theart methods in fine-grained image retrieval.;THA;Computer Systems Science and Engineering;Yes
ID123;Raimundo et al. 2022;2022;"Raimundo, J; Medina, SLC; De Mata, JA; Prieto, JF";Multisensor Data Fusion by Means of Voxelization: Application to a Construction Element of Historic Heritage;Point clouds are very common tools used in the work of documenting historic heritage buildings. These clouds usually comprise millions of unrelated points and are not presented in an efficient data structure, making them complicated to use. Furthermore, point clouds do not contain topological or semantic information on the elements they represent. Added to these difficulties is the fact that a variety of different kinds of sensors and measurement methods are used in study and documentation work: photogrammetry, LIDAR, etc. Each point cloud must be fused and integrated so that decisions can be taken based on the total information supplied by all the sensors used. A system must be devised to represent the discrete set of points in order to organise, structure and fuse the point clouds. In this work we propose the concept of multispectral voxels to fuse the point clouds, thus integrating multisensor information in an efficient data structure, and applied it to the real case of a building element in an archaeological context. The use of multispectral voxels for the fusion of point clouds integrates all the multisensor information in their structure. This allows the use of very powerful algorithms such as automatic learning and machine learning to interpret the elements studied.;ESP;Remote Sensing;Yes
ID124;Richards-Riessetto et al. 2022;2022;"Richards-Rissetto, H; Newton, D; Al Zadjali, A";Lidar Deep Learning for Ancient Maya Archaeology;While it is possible to capture ancient Maya sites hidden beneath jungle canopy in remote locations using airborne Lidar, identifying them is still a time-consuming process. Typically, 3D point clouds are converted to 2D topographic relief images that tend to miss smaller archaeological mounds that are critical to understanding human-environment interactions with implications for today's global challenges. This project directly analysed Lidar data using deep learning to dramatically speed up the processing time and increase the accuracy of archaeological site identification.;USA;GIM International-the Worldwide Magazine for Geomatics;Yes
ID125;Schmidt et al. 2022;2022;"Schmidt, VM; Zelger, P; Woess, C; Pallua, AK; Arora, R; Degenhart, G; Brunner, A; Zelger, B; Schirmer, M; Rabl, W; Pallua, JD";Application of Micro-Computed Tomography for the Estimation of the Post-Mortem Interval of Human Skeletal Remains;Simple Summary With a short sample-preparation time, micro-computer tomography provides a non-destructive method to estimate the post-mortem interval. With a deep learning approach for post-mortem interval estimation (ranging from one day to 2000 years) in bones, the estimation can be approximated with high precision. It is challenging to estimate the post-mortem interval (PMI) of skeletal remains within a forensic context. As a result of their interactions with the environment, bones undergo several chemical and physical changes after death. So far, multiple methods have been used to follow up on post-mortem changes. There is, however, no definitive way to estimate the PMI of skeletal remains. This research aimed to propose a methodology capable of estimating the PMI using micro-computed tomography measurements of 104 human skeletal remains with PMIs between one day and 2000 years. The present study indicates that micro-computed tomography could be considered an objective and precise method of PMI evaluation in forensic medicine. The measured parameters show a significant difference regarding the PMI for Cort Porosity p < 0.001, BV/TV p > 0.001, Mean1 p > 0.001 and Mean2 p > 0.005. Using a machine learning approach, the neural network showed an accuracy of 99% for distinguishing between samples with a PMI of less than 100 years and archaeological samples.;AUT;Biology-Basel;Yes
